instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,expiry_date_extracted
14626050,57133,NIFTY25MAYFUT,NIFTY,0,2025-05-29,0.0,0.1,75,FUT,NFO-FUT,NFO,25MAY
14536962,56785,NIFTY25JUNFUT,NIFTY,0,2025-06-26,0.0,0.1,75,FUT,NFO-FUT,NFO,25JUN
13623298,53216,NIFTY25JULFUT,NIFTY,0,2025-07-31,0.0,0.1,75,FUT,NFO-FUT,NFO,25JUL
14625282,57130,BANKNIFTY25MAYFUT,BANKNIFTY,0,2025-05-29,0.0,0.2,30,FUT,NFO-FUT,NFO,25MAY
14536194,56782,BANKNIFTY25JUNFUT,BANKNIFTY,0,2025-06-26,0.0,0.2,30,FUT,NFO-FUT,NFO,25JUN
13622530,53213,BANKNIFTY25JULFUT,BANKNIFTY,0,2025-07-31,0.0,0.2,35,FUT,NFO-FUT,NFO,25JUL
14626562,57135,AARTIIND25MAYFUT,AARTIIND,0,2025-05-29,0.0,0.05,1000,FUT,NFO-FUT,NFO,25MAY
14537474,56787,AARTIIND25JUNFUT,AARTIIND,0,2025-06-26,0.0,0.05,1000,FUT,NFO-FUT,NFO,25JUN
13623810,53218,AARTIIND25JULFUT,AARTIIND,0,2025-07-31,0.0,0.05,1325,FUT,NFO-FUT,NFO,25JUL
14626818,57136,ABB25MAYFUT,ABB,0,2025-05-29,0.0,0.5,125,FUT,NFO-FUT,NFO,25MAY
14537730,56788,ABB25JUNFUT,ABB,0,2025-06-26,0.0,0.5,125,FUT,NFO-FUT,NFO,25JUN
13624066,53219,ABB25JULFUT,ABB,0,2025-07-31,0.0,0.5,125,FUT,NFO-FUT,NFO,25JUL
14627074,57137,ABCAPITAL25MAYFUT,ABCAPITAL,0,2025-05-29,0.0,0.01,2700,FUT,NFO-FUT,NFO,25MAY
14537986,56789,ABCAPITAL25JUNFUT,ABCAPITAL,0,2025-06-26,0.0,0.01,2700,FUT,NFO-FUT,NFO,25JUN
13624322,53220,ABCAPITAL25JULFUT,ABCAPITAL,0,2025-07-31,0.0,0.01,3100,FUT,NFO-FUT,NFO,25JUL
