Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2025-05-12,1436.5,1439.0,1400.0,1400.0,10674081
2025-05-13,1415.699951171875,1447.699951171875,1412.4000244140625,1433.5,11407896
2025-05-14,1424.4000244140625,1429.9000244140625,1415.5,1420.0,5570160
2025-05-15,1454.199951171875,1461.4000244140625,1412.699951171875,1425.0,20177211
2025-05-16,1456.4000244140625,1461.0,1447.300048828125,1453.199951171875,9036695
2025-05-19,1440.800048828125,1454.5999755859375,1438.199951171875,1452.0999755859375,6195791
2025-05-20,1424.5999755859375,1445.0,1421.800048828125,1438.199951171875,11270560
2025-05-21,1429.199951171875,1436.199951171875,1418.0999755859375,1423.9000244140625,6136364
2025-05-22,1409.4000244140625,1423.800048828125,1396.9000244140625,1421.199951171875,12134466
2025-05-23,1426.800048828125,1433.800048828125,1406.5999755859375,1406.5999755859375,6474883
2025-05-26,1434.800048828125,1441.0,1425.0999755859375,1432.0,4842944
2025-05-27,1422.0999755859375,1437.0,1413.9000244140625,1426.0999755859375,12640414
2025-05-28,1412.9000244140625,1422.5999755859375,1410.699951171875,1420.0999755859375,5944611
2025-05-29,1417.800048828125,1420.0,1408.5999755859375,1412.0999755859375,13771917
2025-05-30,1420.9000244140625,1430.5999755859375,1409.699951171875,1418.0,13788484
2025-06-02,1413.699951171875,1417.5,1395.5999755859375,1412.0999755859375,8098668
2025-06-03,1405.5,1426.5,1403.4000244140625,1422.300048828125,11252626
2025-06-04,1423.5,1425.699951171875,1406.0999755859375,1414.699951171875,8126827
2025-06-05,1442.4000244140625,1454.699951171875,1423.5999755859375,1428.0,13716817
2025-06-06,1443.5,1451.5,1437.0,1441.0,8182161
2025-06-09,1448.800048828125,1457.5,1445.300048828125,1457.0,7885125
2025-06-10,1438.5,1453.9000244140625,1436.0,1450.0,7913181
2025-06-11,1461.9000244140625,1468.5999755859375,1443.0999755859375,1445.800048828125,4666241
