,Date,Time,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2025-06-03,09:15:00,8513.0,8541.5,8490.5,8524.5,0,0.0,0.0
1,2025-06-03,09:16:00,8501.0,8518.0,8495.0,8509.0,9000,0.0,0.0
2,2025-06-03,09:17:00,8498.5,8509.5,8491.5,8508.5,5326,0.0,0.0
3,2025-06-03,09:18:00,8505.5,8519.0,8504.5,8507.5,3174,0.0,0.0
4,2025-06-03,09:19:00,8509.0,8536.0,8509.0,8528.5,4700,0.0,0.0
5,2025-06-03,09:20:00,8527.5,8536.5,8522.5,8529.5,2761,0.0,0.0
6,2025-06-03,09:21:00,8530.5,8537.0,8528.5,8536.0,2351,0.0,0.0
7,2025-06-03,09:22:00,8535.0,8536.5,8533.0,8536.5,2765,0.0,0.0
8,2025-06-03,09:23:00,8538.5,8538.5,8535.0,8537.0,1700,0.0,0.0
9,2025-06-03,09:24:00,8538.0,8558.0,8538.0,8548.5,5442,0.0,0.0
10,2025-06-03,09:25:00,8543.5,8543.5,8522.5,8522.5,3954,0.0,0.0
11,2025-06-03,09:26:00,8519.5,8530.0,8516.0,8530.0,3274,0.0,0.0
12,2025-06-03,09:27:00,8530.5,8530.5,8514.5,8525.0,2593,0.0,0.0
13,2025-06-03,09:28:00,8522.0,8529.5,8522.0,8524.5,1249,0.0,0.0
14,2025-06-03,09:29:00,8526.5,8530.0,8525.0,8529.5,1260,0.0,0.0
15,2025-06-03,09:30:00,8527.5,8527.5,8517.0,8517.0,2296,0.0,0.0
16,2025-06-03,09:31:00,8517.5,8524.0,8515.0,8519.0,1496,0.0,0.0
17,2025-06-03,09:32:00,8521.0,8523.0,8521.0,8523.0,728,0.0,0.0
18,2025-06-03,09:33:00,8519.0,8524.0,8515.5,8523.0,1464,0.0,0.0
19,2025-06-03,09:34:00,8523.5,8523.5,8515.0,8516.0,702,0.0,0.0
20,2025-06-03,09:35:00,8519.5,8532.0,8518.0,8532.0,1611,0.0,0.0
21,2025-06-03,09:36:00,8531.0,8538.0,8531.0,8537.0,1181,0.0,0.0
22,2025-06-03,09:37:00,8537.0,8543.0,8535.0,8543.0,1376,0.0,0.0
23,2025-06-03,09:38:00,8540.5,8542.5,8535.0,8542.0,1358,0.0,0.0
24,2025-06-03,09:39:00,8539.5,8540.0,8535.0,8536.5,1979,0.0,0.0
25,2025-06-03,09:40:00,8537.0,8537.0,8532.0,8534.5,738,0.0,0.0
26,2025-06-03,09:41:00,8532.0,8532.0,8522.5,8524.0,880,0.0,0.0
27,2025-06-03,09:42:00,8524.0,8525.0,8515.0,8517.0,1972,0.0,0.0
28,2025-06-03,09:43:00,8516.5,8523.0,8516.5,8520.0,511,0.0,0.0
29,2025-06-03,09:44:00,8518.0,8530.0,8518.0,8530.0,893,0.0,0.0
30,2025-06-03,09:45:00,8530.0,8533.5,8530.0,8532.5,952,0.0,0.0
31,2025-06-03,09:46:00,8531.5,8536.0,8531.5,8533.0,809,0.0,0.0
32,2025-06-03,09:47:00,8531.5,8531.5,8523.5,8524.0,512,0.0,0.0
33,2025-06-03,09:48:00,8524.0,8529.0,8523.0,8523.0,567,0.0,0.0
34,2025-06-03,09:49:00,8526.0,8532.5,8526.0,8532.5,863,0.0,0.0
35,2025-06-03,09:50:00,8532.5,8534.5,8526.0,8534.5,740,0.0,0.0
36,2025-06-03,09:51:00,8535.0,8539.5,8535.0,8536.0,690,0.0,0.0
37,2025-06-03,09:52:00,8536.0,8537.5,8535.5,8537.5,992,0.0,0.0
38,2025-06-03,09:53:00,8535.0,8536.5,8531.0,8531.0,390,0.0,0.0
39,2025-06-03,09:54:00,8531.5,8531.5,8526.5,8526.5,499,0.0,0.0
40,2025-06-03,09:55:00,8525.0,8532.5,8522.0,8528.5,1148,0.0,0.0
41,2025-06-03,09:56:00,8528.5,8534.0,8528.5,8530.5,600,0.0,0.0
42,2025-06-03,09:57:00,8528.5,8528.5,8517.0,8523.0,1854,0.0,0.0
43,2025-06-03,09:58:00,8519.0,8522.0,8519.0,8520.5,1398,0.0,0.0
44,2025-06-03,09:59:00,8519.0,8519.5,8515.0,8515.5,466,0.0,0.0
45,2025-06-03,10:00:00,8510.0,8510.0,8500.0,8503.0,2696,0.0,0.0
46,2025-06-03,10:01:00,8503.0,8509.5,8502.5,8505.0,1159,0.0,0.0
47,2025-06-03,10:02:00,8503.5,8505.0,8503.5,8504.0,362,0.0,0.0
48,2025-06-03,10:03:00,8504.0,8506.5,8491.0,8494.0,1394,0.0,0.0
49,2025-06-03,10:04:00,8494.5,8503.5,8494.5,8503.5,813,0.0,0.0
50,2025-06-03,10:05:00,8507.0,8509.5,8503.0,8509.5,485,0.0,0.0
51,2025-06-03,10:06:00,8508.5,8517.5,8508.5,8517.5,548,0.0,0.0
52,2025-06-03,10:07:00,8516.0,8518.5,8513.5,8514.5,349,0.0,0.0
53,2025-06-03,10:08:00,8514.5,8515.5,8511.0,8511.0,419,0.0,0.0
54,2025-06-03,10:09:00,8514.5,8516.5,8513.5,8513.5,1470,0.0,0.0
55,2025-06-03,10:10:00,8513.5,8513.5,8508.0,8511.0,679,0.0,0.0
56,2025-06-03,10:11:00,8511.0,8514.5,8510.5,8510.5,146,0.0,0.0
57,2025-06-03,10:12:00,8514.0,8514.0,8505.5,8509.5,1232,0.0,0.0
58,2025-06-03,10:13:00,8512.5,8520.0,8509.5,8519.5,789,0.0,0.0
59,2025-06-03,10:14:00,8519.5,8526.5,8517.5,8524.0,1278,0.0,0.0
60,2025-06-03,10:15:00,8525.5,8530.0,8523.5,8529.0,1755,0.0,0.0
61,2025-06-03,10:16:00,8530.0,8531.5,8527.0,8528.5,939,0.0,0.0
62,2025-06-03,10:17:00,8528.5,8530.0,8528.5,8529.0,253,0.0,0.0
63,2025-06-03,10:18:00,8529.0,8529.0,8522.5,8523.5,340,0.0,0.0
64,2025-06-03,10:19:00,8525.0,8534.0,8523.0,8534.0,1025,0.0,0.0
65,2025-06-03,10:20:00,8539.0,8542.0,8539.0,8539.0,1114,0.0,0.0
66,2025-06-03,10:21:00,8538.5,8545.0,8536.5,8539.0,1571,0.0,0.0
67,2025-06-03,10:22:00,8538.5,8540.5,8531.5,8531.5,1258,0.0,0.0
68,2025-06-03,10:23:00,8532.0,8533.5,8530.0,8533.5,452,0.0,0.0
69,2025-06-03,10:24:00,8540.5,8540.5,8538.5,8540.0,556,0.0,0.0
70,2025-06-03,10:25:00,8542.5,8546.5,8542.5,8543.5,895,0.0,0.0
71,2025-06-03,10:26:00,8543.5,8543.5,8540.5,8540.5,284,0.0,0.0
72,2025-06-03,10:27:00,8539.5,8539.5,8537.0,8537.0,672,0.0,0.0
73,2025-06-03,10:28:00,8535.0,8536.5,8532.0,8534.0,326,0.0,0.0
74,2025-06-03,10:29:00,8534.0,8534.0,8531.0,8533.0,823,0.0,0.0
75,2025-06-03,10:30:00,8533.0,8544.5,8532.0,8544.5,1136,0.0,0.0
76,2025-06-03,10:31:00,8545.0,8555.0,8545.0,8555.0,1882,0.0,0.0
77,2025-06-03,10:32:00,8555.0,8563.5,8555.0,8560.5,1704,0.0,0.0
78,2025-06-03,10:33:00,8560.5,8562.0,8552.0,8553.0,1521,0.0,0.0
79,2025-06-03,10:34:00,8553.5,8560.0,8552.0,8558.0,1050,0.0,0.0
80,2025-06-03,10:35:00,8559.5,8559.5,8554.0,8554.0,635,0.0,0.0
81,2025-06-03,10:36:00,8552.5,8553.5,8550.0,8550.0,209,0.0,0.0
82,2025-06-03,10:37:00,8550.5,8550.5,8543.5,8546.5,677,0.0,0.0
83,2025-06-03,10:38:00,8547.0,8547.0,8536.5,8536.5,1031,0.0,0.0
84,2025-06-03,10:39:00,8532.0,8532.0,8527.0,8529.0,2011,0.0,0.0
85,2025-06-03,10:40:00,8530.0,8530.0,8523.5,8530.0,2473,0.0,0.0
86,2025-06-03,10:41:00,8530.0,8535.5,8530.0,8534.0,234,0.0,0.0
87,2025-06-03,10:42:00,8534.0,8538.0,8533.5,8535.0,232,0.0,0.0
88,2025-06-03,10:43:00,8535.0,8538.0,8534.5,8535.5,230,0.0,0.0
89,2025-06-03,10:44:00,8535.5,8539.0,8535.0,8539.0,628,0.0,0.0
90,2025-06-03,10:45:00,8539.0,8539.0,8532.5,8532.5,209,0.0,0.0
91,2025-06-03,10:46:00,8530.5,8531.0,8530.0,8530.5,73,0.0,0.0
92,2025-06-03,10:48:00,8531.5,8532.0,8529.0,8532.0,1913,0.0,0.0
93,2025-06-03,10:49:00,8531.5,8533.5,8530.0,8533.0,238,0.0,0.0
94,2025-06-03,10:50:00,8535.5,8535.5,8530.0,8532.0,390,0.0,0.0
95,2025-06-03,10:51:00,8532.0,8535.5,8530.0,8531.5,886,0.0,0.0
96,2025-06-03,10:52:00,8535.0,8537.0,8533.0,8536.5,194,0.0,0.0
97,2025-06-03,10:53:00,8536.5,8536.5,8531.0,8531.0,264,0.0,0.0
98,2025-06-03,10:54:00,8532.0,8534.0,8530.0,8534.0,974,0.0,0.0
99,2025-06-03,10:55:00,8534.0,8536.5,8533.5,8534.0,110,0.0,0.0
