Date,Time,Open,High,Low,Close,Volume
2025-06-11,09:15:00,8630.5,8630.5,8616.5,8619.5,0
2025-06-11,09:16:00,8620.5,8633.0,8620.5,8628.5,862
2025-06-11,09:18:00,8661.0,8664.0,8661.0,8664.0,4648
2025-06-11,09:19:00,8676.0,8676.0,8669.0,8669.0,2336
2025-06-11,09:20:00,8680.5,8695.0,8680.5,8687.0,4938
2025-06-11,09:21:00,8684.0,8688.0,8680.0,8686.5,1598
2025-06-11,09:22:00,8686.5,8706.0,8682.0,8699.5,8635
2025-06-11,09:25:00,8691.5,8692.5,8690.0,8692.5,5529
2025-06-11,09:26:00,8695.0,8697.0,8688.0,8697.0,2882
2025-06-11,09:27:00,8709.0,8709.0,8702.0,8705.0,3262
2025-06-11,09:28:00,8705.0,8710.5,8702.0,8703.0,4185
2025-06-11,09:29:00,8702.0,8712.0,8701.0,8708.5,3742
2025-06-11,09:30:00,8708.5,8712.5,8702.0,8709.5,2728
2025-06-11,09:31:00,8709.0,8718.5,8709.0,8716.0,6573
2025-06-11,09:32:00,8713.0,8717.0,8705.5,8708.0,3397
2025-06-11,09:33:00,8705.5,8709.0,8705.0,8707.5,1943
2025-06-11,09:34:00,8706.5,8709.0,8704.0,8709.0,1711
2025-06-11,09:35:00,8708.0,8717.0,8704.5,8717.0,4129
2025-06-11,09:36:00,8710.0,8712.5,8705.0,8708.0,2467
2025-06-11,09:37:00,8708.0,8709.0,8706.0,8709.0,342
2025-06-11,09:38:00,8709.0,8709.0,8705.0,8706.0,421
2025-06-11,09:39:00,8708.0,8717.0,8706.5,8715.0,1546
2025-06-11,09:40:00,8715.0,8715.0,8714.0,8714.0,716
2025-06-11,09:41:00,8711.5,8711.5,8709.0,8710.5,593
2025-06-11,09:42:00,8711.0,8716.0,8711.0,8714.5,1887
2025-06-11,09:43:00,8714.5,8716.0,8713.5,8716.0,1053
2025-06-11,09:44:00,8716.0,8724.0,8715.0,8724.0,6614
2025-06-11,09:45:00,8724.0,8725.0,8714.0,8714.0,3789
2025-06-11,09:46:00,8716.0,8717.5,8708.0,8709.5,2851
2025-06-11,09:47:00,8708.5,8712.0,8708.5,8708.5,1369
2025-06-11,09:48:00,8709.0,8713.5,8708.5,8712.5,1095
2025-06-11,09:49:00,8710.0,8711.5,8700.0,8708.5,2236
2025-06-11,09:50:00,8708.5,8709.5,8703.0,8708.0,2351
2025-06-11,09:51:00,8708.0,8716.0,8708.0,8711.5,3778
2025-06-11,09:52:00,8711.0,8713.0,8708.0,8710.0,2323
2025-06-11,09:53:00,8708.0,8710.0,8706.0,8708.0,819
2025-06-11,09:54:00,8708.0,8709.5,8705.0,8705.0,1263
2025-06-11,09:55:00,8706.0,8707.5,8705.0,8706.0,405
2025-06-11,09:56:00,8704.0,8704.0,8701.0,8701.0,1034
2025-06-11,09:57:00,8701.0,8705.0,8701.0,8705.0,976
2025-06-11,09:58:00,8702.0,8706.0,8700.5,8706.0,1987
2025-06-11,09:59:00,8704.5,8704.5,8693.0,8694.5,1081
2025-06-11,10:00:00,8694.5,8698.0,8694.5,8695.0,317
2025-06-11,10:01:00,8697.5,8709.5,8697.5,8709.5,1825
2025-06-11,10:02:00,8711.5,8724.0,8710.0,8724.0,2655
2025-06-11,10:03:00,8721.5,8740.0,8721.5,8737.5,10443
2025-06-11,10:04:00,8735.0,8742.0,8735.0,8739.5,6752
2025-06-11,10:05:00,8741.5,8745.0,8738.0,8742.0,5455
2025-06-11,10:06:00,8739.5,8743.5,8735.0,8741.5,3599
2025-06-11,10:07:00,8741.5,8753.0,8740.0,8753.0,8946
2025-06-11,10:08:00,8750.0,8753.0,8740.5,8741.0,6633
2025-06-11,10:09:00,8740.0,8745.0,8740.0,8744.0,1607
2025-06-11,10:10:00,8745.0,8749.0,8740.0,8743.0,2202
2025-06-11,10:11:00,8742.0,8742.0,8736.5,8738.0,1650
2025-06-11,10:12:00,8738.0,8741.0,8735.0,8735.0,1817
2025-06-11,10:13:00,8735.0,8743.0,8735.0,8742.5,1644
2025-06-11,10:14:00,8743.0,8747.0,8743.0,8747.0,1657
2025-06-11,10:15:00,8743.0,8750.0,8743.0,8746.5,2060
2025-06-11,10:16:00,8748.5,8748.5,8744.0,8744.0,1747
2025-06-11,10:17:00,8745.5,8750.0,8743.0,8750.0,1678
2025-06-11,10:18:00,8748.5,8749.0,8745.0,8745.0,644
2025-06-11,10:19:00,8746.0,8747.0,8741.0,8741.5,1569
2025-06-11,10:20:00,8741.0,8745.0,8740.0,8745.0,1000
2025-06-11,10:21:00,8741.5,8741.5,8737.0,8737.0,625
2025-06-11,10:22:00,8735.0,8735.0,8724.5,8733.5,3082
2025-06-11,10:23:00,8731.0,8732.0,8725.0,8730.0,1087
2025-06-11,10:24:00,8728.5,8732.0,8726.0,8727.0,570
2025-06-11,10:25:00,8726.0,8727.5,8720.0,8721.5,2064
2025-06-11,10:26:00,8721.0,8723.5,8714.0,8718.5,2458
2025-06-11,10:27:00,8715.5,8719.5,8711.0,8711.0,1900
2025-06-11,10:28:00,8713.5,8714.0,8708.0,8710.5,1280
2025-06-11,10:29:00,8711.0,8715.5,8711.0,8715.5,1437
2025-06-11,10:30:00,8715.5,8720.0,8708.5,8720.0,1006
2025-06-11,10:31:00,8721.5,8722.0,8721.5,8722.0,1692
2025-06-11,10:33:00,8729.0,8732.0,8729.0,8729.5,3952
2025-06-11,10:34:00,8729.5,8729.5,8724.5,8724.5,709
2025-06-11,10:35:00,8724.5,8725.0,8722.0,8722.5,1021
2025-06-11,10:36:00,8720.0,8721.0,8718.0,8720.5,2450
2025-06-11,10:37:00,8718.5,8719.0,8712.5,8714.5,1619
2025-06-11,10:38:00,8715.0,8719.0,8713.5,8715.0,380
2025-06-11,10:39:00,8715.0,8718.0,8715.0,8718.0,492
2025-06-11,10:40:00,8718.0,8718.0,8715.0,8715.5,440
2025-06-11,10:41:00,8713.0,8717.5,8711.5,8717.5,1088
2025-06-11,10:42:00,8719.0,8720.5,8716.0,8717.0,903
2025-06-11,10:43:00,8717.5,8722.5,8717.0,8721.5,660
2025-06-11,10:44:00,8721.0,8724.5,8721.0,8721.0,538
2025-06-11,10:45:00,8721.0,8724.0,8720.0,8720.0,610
2025-06-11,10:46:00,8720.0,8721.0,8715.5,8715.5,347
2025-06-11,10:47:00,8715.0,8720.5,8714.0,8718.5,643
2025-06-11,10:48:00,8718.0,8720.5,8717.0,8717.0,296
2025-06-11,10:49:00,8717.0,8721.5,8717.0,8717.0,241
2025-06-11,10:50:00,8718.5,8721.5,8718.5,8720.0,395
2025-06-11,10:51:00,8721.5,8721.5,8717.0,8717.0,166
2025-06-11,10:52:00,8720.0,8729.0,8720.0,8727.0,1171
2025-06-11,10:53:00,8727.0,8727.0,8721.0,8725.5,300
