Date,Time,Open,High,Low,Close,Volume
2025-06-06,09:15:00,5606.5,5611.0,5606.5,5611.0,0
2025-06-06,09:16:00,5609.0,5619.5,5604.0,5619.0,1972
2025-06-06,09:17:00,5615.5,5626.5,5615.5,5624.5,1111
2025-06-06,09:18:00,5625.0,5636.5,5625.0,5632.0,1382
2025-06-06,09:19:00,5631.0,5631.0,5616.0,5618.0,821
2025-06-06,09:20:00,5616.5,5628.5,5616.5,5626.5,222
2025-06-06,09:21:00,5625.0,5630.5,5623.5,5623.5,929
2025-06-06,09:22:00,5630.0,5630.0,5624.5,5624.5,663
2025-06-06,09:23:00,5624.5,5626.5,5617.0,5617.0,291
2025-06-06,09:24:00,5619.0,5629.0,5619.0,5629.0,420
2025-06-06,09:25:00,5628.5,5643.5,5628.5,5643.5,1377
2025-06-06,09:26:00,5642.0,5642.5,5636.5,5637.5,1191
2025-06-06,09:27:00,5640.0,5640.0,5625.0,5625.0,575
2025-06-06,09:28:00,5623.5,5625.0,5620.0,5620.0,525
2025-06-06,09:29:00,5623.0,5623.0,5617.0,5617.0,403
2025-06-06,09:30:00,5620.0,5620.0,5615.5,5615.5,319
2025-06-06,09:31:00,5616.5,5621.5,5616.5,5621.5,172
2025-06-06,09:32:00,5621.5,5623.5,5620.5,5621.0,163
2025-06-06,09:33:00,5623.0,5628.5,5621.0,5624.0,323
2025-06-06,09:34:00,5626.5,5626.5,5619.5,5619.5,267
2025-06-06,09:35:00,5618.5,5618.5,5615.5,5618.5,105
2025-06-06,09:36:00,5616.5,5616.5,5612.0,5616.0,339
2025-06-06,09:37:00,5614.0,5615.5,5612.5,5614.5,318
2025-06-06,09:38:00,5616.0,5619.5,5613.5,5619.5,293
2025-06-06,09:39:00,5621.5,5623.5,5620.0,5621.0,428
2025-06-06,09:40:00,5622.5,5628.5,5622.5,5627.0,369
2025-06-06,09:41:00,5627.0,5628.0,5624.5,5625.5,242
2025-06-06,09:42:00,5628.5,5630.0,5628.0,5628.0,522
2025-06-06,09:43:00,5628.0,5629.5,5625.5,5626.0,670
2025-06-06,09:44:00,5624.0,5626.0,5624.0,5624.5,299
2025-06-06,09:45:00,5623.0,5629.0,5623.0,5627.0,468
2025-06-06,09:46:00,5629.0,5629.0,5627.5,5628.0,311
2025-06-06,09:47:00,5627.5,5627.5,5622.5,5622.5,529
2025-06-06,09:48:00,5624.0,5625.0,5619.5,5619.5,204
2025-06-06,09:49:00,5621.5,5626.0,5621.5,5625.5,561
2025-06-06,09:50:00,5623.0,5625.5,5616.5,5619.5,333
2025-06-06,09:51:00,5617.5,5621.5,5617.0,5621.0,309
2025-06-06,09:52:00,5621.0,5624.5,5617.5,5624.5,336
2025-06-06,09:53:00,5622.0,5622.0,5618.0,5619.5,148
2025-06-06,09:54:00,5618.5,5618.5,5618.0,5618.0,141
2025-06-06,09:55:00,5618.0,5619.5,5616.5,5619.5,196
2025-06-06,09:56:00,5622.0,5625.0,5620.5,5621.0,334
2025-06-06,09:57:00,5623.0,5624.5,5620.5,5624.0,189
2025-06-06,09:58:00,5622.0,5622.0,5619.0,5619.0,44
2025-06-06,09:59:00,5623.0,5623.5,5622.5,5623.0,408
2025-06-06,10:00:00,5620.5,5625.0,5620.5,5621.5,261
2025-06-06,10:01:00,5621.0,5624.0,5619.0,5621.0,286
2025-06-06,10:02:00,5620.0,5620.0,5617.0,5617.0,148
2025-06-06,10:03:00,5620.0,5621.0,5617.0,5617.0,257
2025-06-06,10:04:00,5615.0,5616.5,5612.5,5616.5,578
2025-06-06,10:05:00,5613.0,5618.0,5612.5,5618.0,194
2025-06-06,10:06:00,5619.5,5626.5,5619.5,5623.0,734
2025-06-06,10:07:00,5625.0,5626.0,5620.0,5626.0,960
2025-06-06,10:08:00,5629.0,5640.0,5629.0,5640.0,1332
2025-06-06,10:09:00,5641.5,5642.0,5639.5,5641.0,1004
2025-06-06,10:10:00,5641.5,5644.0,5637.5,5644.0,1232
2025-06-06,10:11:00,5642.5,5642.5,5635.5,5638.5,1353
2025-06-06,10:12:00,5638.0,5641.5,5616.0,5616.0,1712
2025-06-06,10:13:00,5622.0,5622.0,5605.5,5611.0,1598
2025-06-06,10:14:00,5611.0,5614.5,5608.0,5614.5,264
2025-06-06,10:15:00,5615.5,5615.5,5607.0,5607.0,498
2025-06-06,10:16:00,5606.5,5613.5,5606.5,5610.0,218
2025-06-06,10:17:00,5607.5,5612.0,5607.5,5608.5,103
2025-06-06,10:18:00,5612.0,5613.5,5609.5,5613.0,218
2025-06-06,10:19:00,5610.5,5615.0,5610.0,5615.0,303
2025-06-06,10:20:00,5615.0,5618.0,5615.0,5615.5,106
2025-06-06,10:21:00,5613.5,5616.0,5612.5,5612.5,137
