Date,Time,Open,High,Low,Close,Volume
2025-06-10,09:15:00,6652.0,6657.0,6648.0,6651.5,0
2025-06-10,09:16:00,6652.0,6652.0,6631.5,6636.5,1106
2025-06-10,09:17:00,6633.0,6645.0,6629.5,6644.5,679
2025-06-10,09:18:00,6642.5,6643.5,6640.5,6642.5,231
2025-06-10,09:19:00,6642.5,6654.0,6642.5,6653.0,1054
2025-06-10,09:20:00,6653.0,6653.0,6645.0,6647.0,1205
2025-06-10,09:21:00,6650.0,6650.0,6640.0,6640.0,430
2025-06-10,09:22:00,6640.0,6646.0,6638.0,6641.5,692
2025-06-10,09:24:00,6624.5,6629.0,6624.5,6629.0,1315
2025-06-10,09:25:00,6626.5,6627.0,6624.0,6627.0,378
2025-06-10,09:26:00,6623.0,6631.0,6623.0,6631.0,266
2025-06-10,09:27:00,6630.5,6630.5,6623.0,6623.0,258
2025-06-10,09:28:00,6623.0,6633.5,6623.0,6633.0,562
2025-06-10,09:29:00,6630.0,6630.0,6625.0,6626.5,377
2025-06-10,09:30:00,6624.0,6624.0,6615.0,6615.5,890
2025-06-10,09:31:00,6619.5,6626.0,6619.5,6624.5,594
2025-06-10,09:32:00,6624.5,6627.5,6620.0,6627.5,255
2025-06-10,09:33:00,6625.0,6630.0,6621.0,6621.5,547
2025-06-10,09:34:00,6624.0,6630.0,6624.0,6624.0,466
2025-06-10,09:35:00,6627.5,6627.5,6623.0,6624.0,158
2025-06-10,09:36:00,6624.0,6625.5,6619.5,6619.5,623
2025-06-10,09:37:00,6618.0,6618.0,6612.5,6615.5,304
2025-06-10,09:38:00,6613.5,6633.0,6613.5,6626.5,587
2025-06-10,09:39:00,6629.5,6629.5,6624.0,6624.0,259
2025-06-10,09:40:00,6626.0,6626.0,6623.0,6625.0,44
2025-06-10,09:41:00,6626.5,6631.0,6626.5,6628.5,248
2025-06-10,09:42:00,6628.5,6630.5,6626.5,6626.5,146
2025-06-10,09:43:00,6629.0,6635.0,6629.0,6631.0,425
2025-06-10,09:44:00,6632.5,6632.5,6627.5,6630.0,480
2025-06-10,09:45:00,6627.5,6630.5,6626.0,6627.5,258
2025-06-10,09:46:00,6626.0,6632.0,6626.0,6629.0,395
2025-06-10,09:47:00,6631.0,6632.0,6627.5,6627.5,471
2025-06-10,09:48:00,6626.0,6627.5,6624.5,6625.0,210
2025-06-10,09:49:00,6625.0,6625.0,6622.5,6624.0,78
2025-06-10,09:50:00,6622.0,6629.0,6622.0,6626.0,147
2025-06-10,09:51:00,6626.0,6628.0,6626.0,6627.5,65
2025-06-10,09:52:00,6626.0,6626.0,6621.0,6621.5,148
2025-06-10,09:53:00,6621.5,6621.5,6620.0,6620.0,28
2025-06-10,09:54:00,6620.0,6621.0,6619.5,6621.0,113
2025-06-10,09:55:00,6621.5,6623.5,6615.5,6615.5,184
2025-06-10,09:56:00,6623.5,6623.5,6620.5,6623.5,227
2025-06-10,09:57:00,6620.0,6624.0,6620.0,6624.0,11
2025-06-10,09:58:00,6623.5,6624.0,6620.5,6621.5,97
2025-06-10,09:59:00,6624.0,6624.0,6621.5,6624.0,194
2025-06-10,10:00:00,6626.0,6631.5,6624.0,6624.0,2220
2025-06-10,10:01:00,6621.0,6625.0,6620.5,6625.0,104
2025-06-10,10:02:00,6626.5,6627.0,6626.5,6626.5,26
2025-06-10,10:03:00,6627.5,6628.5,6627.0,6627.5,173
2025-06-10,10:04:00,6627.5,6628.0,6627.0,6628.0,89
2025-06-10,10:05:00,6628.0,6628.0,6625.0,6627.5,216
2025-06-10,10:06:00,6627.5,6627.5,6623.5,6623.5,114
2025-06-10,10:07:00,6623.5,6624.0,6622.5,6624.0,85
2025-06-10,10:08:00,6624.5,6628.5,6624.5,6626.5,180
2025-06-10,10:09:00,6627.5,6629.5,6627.5,6629.5,87
2025-06-10,10:10:00,6626.5,6629.5,6625.5,6626.0,67
2025-06-10,10:11:00,6626.0,6628.5,6626.0,6628.5,101
2025-06-10,10:12:00,6628.0,6633.5,6628.0,6633.5,742
2025-06-10,10:13:00,6632.0,6634.0,6630.5,6634.0,115
2025-06-10,10:14:00,6634.0,6634.5,6632.0,6634.0,111
2025-06-10,10:15:00,6634.0,6635.0,6634.0,6635.0,104
2025-06-10,10:16:00,6635.0,6635.5,6634.0,6635.5,236
2025-06-10,10:17:00,6634.0,6635.5,6630.5,6630.5,370
2025-06-10,10:18:00,6632.0,6632.0,6631.5,6631.5,35
2025-06-10,10:19:00,6630.0,6631.0,6630.0,6630.0,67
2025-06-10,10:20:00,6630.0,6633.0,6630.0,6633.0,173
2025-06-10,10:21:00,6630.5,6631.5,6627.0,6627.0,401
2025-06-10,10:22:00,6627.5,6631.0,6627.0,6631.0,69
2025-06-10,10:23:00,6631.5,6631.5,6627.5,6627.5,102
2025-06-10,10:24:00,6630.0,6630.0,6628.0,6629.0,110
2025-06-10,10:25:00,6630.0,6630.0,6627.5,6629.5,50
2025-06-10,10:26:00,6629.5,6633.0,6629.5,6632.0,149
2025-06-10,10:27:00,6630.0,6635.0,6630.0,6635.0,155
2025-06-10,10:28:00,6635.0,6646.5,6635.0,6646.5,593
2025-06-10,10:29:00,6646.5,6648.0,6639.0,6643.0,575
2025-06-10,10:30:00,6645.5,6645.5,6643.0,6645.5,31
2025-06-10,10:31:00,6642.5,6642.5,6641.0,6641.0,78
2025-06-10,10:32:00,6641.5,6645.5,6639.5,6645.5,380
2025-06-10,10:33:00,6645.5,6645.5,6641.5,6641.5,180
2025-06-10,10:34:00,6642.0,6644.5,6641.0,6643.5,27
2025-06-10,10:35:00,6643.5,6644.0,6640.5,6643.5,625
2025-06-10,10:36:00,6640.0,6640.0,6636.5,6639.5,223
2025-06-10,10:37:00,6639.5,6639.5,6637.0,6639.5,62
2025-06-10,10:38:00,6637.0,6639.0,6637.0,6637.0,131
2025-06-10,10:39:00,6639.0,6639.0,6635.0,6635.5,179
2025-06-10,10:40:00,6635.5,6637.5,6635.0,6635.0,123
2025-06-10,10:41:00,6637.0,6637.0,6633.0,6635.0,54
2025-06-10,10:42:00,6635.0,6636.5,6633.5,6633.5,151
2025-06-10,10:43:00,6636.5,6636.5,6633.5,6634.0,25
2025-06-10,10:44:00,6636.0,6636.0,6632.5,6632.5,192
2025-06-10,10:45:00,6631.5,6632.5,6630.0,6631.0,331
2025-06-10,10:46:00,6633.0,6633.5,6633.0,6633.5,81
2025-06-10,10:47:00,6634.0,6634.5,6634.0,6634.5,54
2025-06-10,10:48:00,6634.5,6635.0,6634.0,6635.0,120
2025-06-10,10:49:00,6635.0,6640.0,6635.0,6640.0,188
2025-06-10,10:50:00,6640.0,6640.0,6634.0,6635.5,492
2025-06-10,10:51:00,6634.5,6637.5,6634.5,6636.5,45
2025-06-10,10:52:00,6636.5,6636.5,6630.0,6630.0,177
2025-06-10,10:53:00,6632.5,6643.0,6632.5,6640.0,704
2025-06-10,10:54:00,6640.5,6649.5,6640.5,6649.5,730
2025-06-10,10:55:00,6648.5,6649.0,6638.5,6643.0,2255
2025-06-10,10:56:00,6646.0,6650.0,6641.0,6650.0,1183
2025-06-10,10:57:00,6649.5,6652.5,6647.0,6649.0,2101
2025-06-10,10:58:00,6652.0,6652.5,6650.0,6652.5,389
2025-06-10,10:59:00,6652.0,6652.0,6650.0,6651.5,458
2025-06-10,11:00:00,6651.5,6652.5,6650.0,6650.0,815
2025-06-10,11:01:00,6652.0,6652.5,6650.0,6650.0,123
2025-06-10,11:02:00,6652.5,6653.0,6650.5,6650.5,203
2025-06-10,11:03:00,6653.0,6653.5,6650.5,6653.0,314
2025-06-10,11:04:00,6656.5,6658.0,6655.5,6657.5,1180
2025-06-10,11:05:00,6658.0,6658.0,6658.0,6658.0,218
2025-06-10,11:07:00,6658.5,6663.0,6658.5,6663.0,2132
2025-06-10,11:08:00,6663.0,6666.5,6662.5,6666.5,1734
2025-06-10,11:09:00,6666.0,6673.0,6666.0,6673.0,1463
2025-06-10,11:10:00,6674.5,6676.0,6670.0,6671.5,861
2025-06-10,11:11:00,6672.0,6673.5,6670.0,6673.5,1296
2025-06-10,11:12:00,6675.5,6675.5,6669.5,6669.5,199
2025-06-10,11:13:00,6670.0,6670.0,6665.0,6668.5,291
2025-06-10,11:14:00,6668.5,6669.5,6660.0,6660.0,140
2025-06-10,11:15:00,6662.0,6662.5,6655.0,6662.5,686
2025-06-10,11:16:00,6662.0,6664.5,6660.0,6664.5,1214
2025-06-10,11:17:00,6664.0,6664.0,6659.0,6659.0,534
2025-06-10,11:18:00,6659.5,6659.5,6657.5,6659.5,0
2025-06-10,11:19:00,6659.5,6659.5,6655.5,6655.5,52
2025-06-10,11:20:00,6656.0,6657.0,6652.5,6652.5,209
2025-06-10,11:21:00,6651.5,6655.5,6650.5,6655.5,486
