,Date,Time,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2025-06-03,09:15:00,6944.5,6944.5,6927.5,6938.0,0,0.0,0.0
1,2025-06-03,09:16:00,6898.0,6898.0,6878.5,6878.5,8227,0.0,0.0
2,2025-06-03,09:17:00,6878.5,6878.5,6872.5,6872.5,4743,0.0,0.0
3,2025-06-03,09:18:00,6873.0,6879.5,6870.5,6874.0,3094,0.0,0.0
4,2025-06-03,09:19:00,6876.5,6884.0,6876.5,6881.0,2484,0.0,0.0
5,2025-06-03,09:20:00,6883.5,6898.0,6883.5,6896.5,3938,0.0,0.0
6,2025-06-03,09:21:00,6903.0,6903.0,6897.0,6897.0,970,0.0,0.0
7,2025-06-03,09:22:00,6893.5,6916.0,6893.5,6916.0,3874,0.0,0.0
8,2025-06-03,09:23:00,6916.0,6916.0,6907.0,6911.5,3023,0.0,0.0
9,2025-06-03,09:24:00,6907.0,6910.0,6903.0,6905.0,3177,0.0,0.0
10,2025-06-03,09:25:00,6905.0,6905.0,6898.0,6898.0,1741,0.0,0.0
11,2025-06-03,09:26:00,6898.0,6902.0,6896.0,6896.0,1854,0.0,0.0
12,2025-06-03,09:27:00,6895.5,6895.5,6890.5,6891.5,1161,0.0,0.0
13,2025-06-03,09:28:00,6891.5,6897.0,6891.5,6893.0,2615,0.0,0.0
14,2025-06-03,09:29:00,6893.0,6903.5,6892.5,6903.5,513,0.0,0.0
15,2025-06-03,09:30:00,6904.0,6904.0,6899.0,6899.0,1014,0.0,0.0
16,2025-06-03,09:31:00,6896.0,6896.0,6880.0,6885.0,4249,0.0,0.0
17,2025-06-03,09:32:00,6888.5,6888.5,6883.0,6883.0,639,0.0,0.0
18,2025-06-03,09:33:00,6885.5,6885.5,6883.0,6884.0,1173,0.0,0.0
19,2025-06-03,09:34:00,6881.5,6881.5,6878.0,6878.0,753,0.0,0.0
20,2025-06-03,09:35:00,6877.0,6878.0,6874.0,6874.0,3202,0.0,0.0
21,2025-06-03,09:36:00,6877.0,6877.0,6872.5,6877.0,764,0.0,0.0
22,2025-06-03,09:37:00,6877.5,6884.0,6877.5,6884.0,844,0.0,0.0
23,2025-06-03,09:38:00,6884.0,6885.0,6881.5,6882.0,614,0.0,0.0
24,2025-06-03,09:39:00,6881.0,6881.0,6877.0,6880.0,955,0.0,0.0
25,2025-06-03,09:40:00,6878.0,6880.0,6877.5,6877.5,795,0.0,0.0
26,2025-06-03,09:41:00,6877.0,6877.0,6872.0,6872.0,896,0.0,0.0
27,2025-06-03,09:42:00,6870.5,6874.0,6870.0,6873.0,1821,0.0,0.0
28,2025-06-03,09:43:00,6873.5,6877.5,6873.0,6876.0,1420,0.0,0.0
