,Date,Time,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2025-06-03,09:15:00,5624.0,5629.5,5624.0,5629.5,0,0.0,0.0
1,2025-06-03,09:16:00,5624.0,5624.0,5606.5,5609.0,2845,0.0,0.0
2,2025-06-03,09:17:00,5608.5,5612.0,5600.0,5608.5,2226,0.0,0.0
3,2025-06-03,09:18:00,5608.5,5608.5,5594.5,5596.5,2295,0.0,0.0
4,2025-06-03,09:19:00,5601.5,5609.0,5601.0,5609.0,1031,0.0,0.0
5,2025-06-03,09:20:00,5608.5,5608.5,5603.5,5605.0,821,0.0,0.0
6,2025-06-03,09:21:00,5612.0,5613.5,5610.0,5613.5,1894,0.0,0.0
7,2025-06-03,09:22:00,5605.0,5613.0,5605.0,5608.0,1045,0.0,0.0
8,2025-06-03,09:23:00,5605.5,5609.5,5605.0,5605.0,506,0.0,0.0
9,2025-06-03,09:24:00,5604.0,5604.0,5601.0,5601.0,662,0.0,0.0
10,2025-06-03,09:25:00,5601.0,5603.5,5601.0,5603.5,549,0.0,0.0
11,2025-06-03,09:26:00,5603.0,5603.0,5593.0,5593.0,778,0.0,0.0
12,2025-06-03,09:27:00,5594.0,5594.0,5584.0,5584.0,1263,0.0,0.0
13,2025-06-03,09:28:00,5583.5,5584.0,5580.5,5584.0,906,0.0,0.0
14,2025-06-03,09:29:00,5583.0,5588.5,5583.0,5588.5,616,0.0,0.0
15,2025-06-03,09:30:00,5577.0,5577.0,5571.5,5573.5,2452,0.0,0.0
16,2025-06-03,09:31:00,5573.5,5575.0,5573.5,5574.5,388,0.0,0.0
17,2025-06-03,09:32:00,5574.5,5574.5,5567.5,5567.5,463,0.0,0.0
18,2025-06-03,09:33:00,5567.0,5567.0,5564.0,5565.0,756,0.0,0.0
19,2025-06-03,09:34:00,5565.0,5565.0,5561.5,5564.5,826,0.0,0.0
20,2025-06-03,09:35:00,5565.0,5574.5,5565.0,5574.5,567,0.0,0.0
21,2025-06-03,09:36:00,5574.5,5583.0,5574.5,5583.0,521,0.0,0.0
22,2025-06-03,09:37:00,5583.5,5583.5,5578.0,5578.0,363,0.0,0.0
23,2025-06-03,09:38:00,5578.5,5581.0,5578.0,5578.0,275,0.0,0.0
24,2025-06-03,09:39:00,5574.5,5574.5,5565.0,5566.0,422,0.0,0.0
25,2025-06-03,09:40:00,5566.0,5567.5,5565.0,5566.5,488,0.0,0.0
26,2025-06-03,09:41:00,5567.0,5570.5,5565.0,5570.5,566,0.0,0.0
27,2025-06-03,09:42:00,5568.0,5569.0,5566.5,5569.0,123,0.0,0.0
28,2025-06-03,09:43:00,5568.0,5568.0,5565.0,5565.0,241,0.0,0.0
29,2025-06-03,09:44:00,5565.0,5567.0,5564.0,5567.0,337,0.0,0.0
30,2025-06-03,09:45:00,5565.5,5565.5,5562.5,5563.0,291,0.0,0.0
31,2025-06-03,09:46:00,5563.0,5563.5,5562.0,5563.5,390,0.0,0.0
32,2025-06-03,09:47:00,5563.5,5568.0,5563.5,5565.0,357,0.0,0.0
33,2025-06-03,09:48:00,5565.0,5566.5,5564.0,5565.0,210,0.0,0.0
34,2025-06-03,09:49:00,5566.5,5568.0,5565.5,5568.0,152,0.0,0.0
35,2025-06-03,09:50:00,5568.0,5570.5,5566.5,5567.0,1260,0.0,0.0
36,2025-06-03,09:51:00,5567.0,5574.0,5567.0,5574.0,454,0.0,0.0
37,2025-06-03,09:52:00,5574.5,5574.5,5567.0,5568.0,418,0.0,0.0
38,2025-06-03,09:53:00,5568.0,5573.0,5565.5,5573.0,811,0.0,0.0
39,2025-06-03,09:54:00,5572.5,5585.0,5572.5,5582.5,983,0.0,0.0
40,2025-06-03,09:55:00,5586.0,5599.5,5583.0,5599.5,2930,0.0,0.0
41,2025-06-03,09:56:00,5601.0,5605.5,5601.0,5605.5,2743,0.0,0.0
42,2025-06-03,09:57:00,5601.5,5605.0,5593.0,5595.5,3368,0.0,0.0
