Date,Time,Open,High,Low,Close,Volume
2025-06-09,09:15:00,5621.0,5621.0,5607.5,5615.5,0
2025-06-09,09:16:00,5617.5,5620.5,5614.0,5620.5,395
2025-06-09,09:17:00,5620.0,5626.5,5620.0,5626.0,497
2025-06-09,09:18:00,5622.5,5627.0,5617.5,5627.0,822
2025-06-09,09:19:00,5627.5,5629.5,5623.0,5624.0,369
2025-06-09,09:20:00,5632.0,5637.0,5632.0,5634.0,1206
2025-06-09,09:21:00,5633.0,5633.5,5620.5,5620.5,441
2025-06-09,09:22:00,5623.5,5623.5,5613.5,5615.0,183
2025-06-09,09:23:00,5615.0,5618.5,5608.0,5611.0,356
2025-06-09,09:24:00,5610.5,5613.0,5608.0,5613.0,235
2025-06-09,09:25:00,5610.0,5610.0,5606.0,5609.0,420
2025-06-09,09:26:00,5610.0,5615.0,5610.0,5614.5,135
2025-06-09,09:27:00,5614.5,5617.0,5613.5,5613.5,255
2025-06-09,09:28:00,5613.5,5617.5,5613.5,5616.5,81
2025-06-09,09:29:00,5614.0,5632.5,5614.0,5618.0,1597
2025-06-09,09:30:00,5625.0,5627.0,5614.0,5614.0,661
2025-06-09,09:31:00,5614.5,5617.0,5614.0,5617.0,300
2025-06-09,09:32:00,5619.0,5619.5,5617.0,5617.0,148
2025-06-09,09:33:00,5619.0,5619.5,5615.0,5615.0,72
2025-06-09,09:34:00,5615.5,5618.5,5613.0,5617.0,237
2025-06-09,09:35:00,5617.0,5617.0,5616.5,5617.0,75
2025-06-09,09:36:00,5614.5,5619.0,5614.5,5619.0,453
2025-06-09,09:37:00,5620.0,5620.0,5617.0,5618.5,71
2025-06-09,09:38:00,5617.0,5620.0,5617.0,5619.5,225
2025-06-09,09:39:00,5621.5,5622.5,5621.5,5622.5,121
2025-06-09,09:40:00,5622.0,5622.0,5620.0,5620.0,212
2025-06-09,09:41:00,5619.0,5620.0,5619.0,5619.0,65
2025-06-09,09:42:00,5622.0,5622.0,5619.0,5619.0,216
2025-06-09,09:43:00,5617.0,5617.0,5608.0,5608.0,1721
2025-06-09,09:44:00,5608.0,5608.0,5603.0,5605.5,522
2025-06-09,09:45:00,5604.5,5607.0,5603.5,5603.5,305
2025-06-09,09:46:00,5603.0,5605.0,5596.5,5599.5,309
2025-06-09,09:47:00,5599.5,5603.0,5597.0,5603.0,154
2025-06-09,09:48:00,5605.5,5611.0,5605.5,5611.0,3685
2025-06-09,09:49:00,5611.0,5612.0,5611.0,5612.0,2397
2025-06-09,09:50:00,5612.0,5613.0,5611.0,5613.0,2315
2025-06-09,09:51:00,5612.5,5614.0,5612.5,5613.0,742
2025-06-09,09:52:00,5614.0,5625.0,5614.0,5625.0,4559
2025-06-09,09:53:00,5624.0,5630.0,5624.0,5629.5,701
2025-06-09,09:54:00,5625.0,5629.0,5625.0,5626.5,388
2025-06-09,09:55:00,5627.0,5629.5,5626.5,5626.5,129
2025-06-09,09:56:00,5626.5,5629.0,5621.5,5621.5,404
2025-06-09,09:57:00,5618.5,5623.5,5613.0,5613.0,1955
2025-06-09,09:58:00,5610.0,5611.5,5606.5,5607.0,1225
2025-06-09,09:59:00,5607.0,5607.0,5605.0,5606.5,1400
2025-06-09,10:00:00,5607.0,5607.0,5605.5,5606.0,4016
2025-06-09,10:01:00,5607.0,5607.0,5605.5,5607.0,98
2025-06-09,10:02:00,5606.5,5610.0,5606.5,5610.0,1633
2025-06-09,10:03:00,5609.0,5610.0,5607.0,5607.0,534
2025-06-09,10:04:00,5605.0,5605.0,5603.5,5604.0,2474
2025-06-09,10:05:00,5603.5,5603.5,5600.5,5600.5,668
2025-06-09,10:06:00,5600.5,5600.5,5598.0,5598.0,144
2025-06-09,10:07:00,5598.0,5599.0,5596.5,5599.0,203
2025-06-09,10:08:00,5599.5,5600.0,5595.0,5595.5,310
2025-06-09,10:09:00,5596.0,5596.0,5593.0,5593.0,413
2025-06-09,10:10:00,5593.0,5595.0,5590.0,5595.0,2012
2025-06-09,10:11:00,5595.0,5598.0,5593.5,5598.0,2953
2025-06-09,10:12:00,5599.0,5601.5,5599.0,5601.5,167
2025-06-09,10:13:00,5602.5,5603.5,5601.5,5601.5,209
2025-06-09,10:14:00,5602.5,5604.5,5601.5,5604.0,103
2025-06-09,10:15:00,5604.0,5604.0,5602.0,5604.0,182
2025-06-09,10:16:00,5603.0,5603.0,5601.5,5601.5,353
2025-06-09,10:17:00,5600.5,5602.5,5600.0,5600.0,154
2025-06-09,10:18:00,5602.0,5605.5,5602.0,5603.0,213
2025-06-09,10:19:00,5605.5,5608.0,5604.5,5608.0,84
2025-06-09,10:20:00,5608.5,5610.5,5608.0,5610.5,168
2025-06-09,10:21:00,5614.5,5614.5,5612.0,5613.5,235
2025-06-09,10:22:00,5611.5,5614.5,5611.5,5612.5,120
2025-06-09,10:23:00,5613.5,5617.5,5613.0,5617.5,241
2025-06-09,10:24:00,5617.0,5621.5,5617.0,5619.5,363
2025-06-09,10:25:00,5621.5,5622.5,5616.0,5617.0,645
2025-06-09,10:26:00,5617.0,5624.5,5617.0,5624.5,205
2025-06-09,10:27:00,5625.0,5628.0,5623.0,5623.0,242
2025-06-09,10:28:00,5624.5,5628.5,5624.5,5628.5,660
2025-06-09,10:29:00,5630.0,5633.5,5630.0,5633.5,769
