Date,Time,Open,High,Low,Close,Volume
2025-06-04,09:15:00,1628.5999755859375,1633.699951171875,1626.5,1633.699951171875,0
2025-06-04,09:16:00,1632.9000244140625,1636.0,1629.0,1631.300048828125,12032
2025-06-04,09:17:00,1631.4000244140625,1638.0,1631.4000244140625,1636.699951171875,10915
2025-06-04,09:18:00,1636.5999755859375,1639.4000244140625,1635.0,1638.4000244140625,7795
2025-06-04,09:19:00,1637.199951171875,1637.199951171875,1634.0,1634.5,2711
2025-06-04,09:20:00,1635.699951171875,1635.699951171875,1633.0999755859375,1633.4000244140625,6890
2025-06-04,09:21:00,1633.199951171875,1635.199951171875,1633.0999755859375,1633.0999755859375,2120
2025-06-04,09:22:00,1633.199951171875,1633.5999755859375,1633.0999755859375,1633.0999755859375,2009
2025-06-04,09:23:00,1633.300048828125,1633.300048828125,1631.0,1631.9000244140625,2666
2025-06-04,09:24:00,1632.0999755859375,1632.9000244140625,1631.800048828125,1632.9000244140625,1300
2025-06-04,09:25:00,1631.5,1632.699951171875,1631.300048828125,1631.300048828125,2749
2025-06-04,09:26:00,1632.300048828125,1633.9000244140625,1632.0,1633.5,3876
2025-06-04,09:27:00,1633.4000244140625,1635.0,1633.4000244140625,1634.699951171875,1873
2025-06-04,09:28:00,1634.699951171875,1634.699951171875,1633.0999755859375,1633.0999755859375,760
2025-06-04,09:29:00,1632.800048828125,1632.800048828125,1631.4000244140625,1631.699951171875,3322
2025-06-04,09:30:00,1631.699951171875,1632.300048828125,1631.0,1631.9000244140625,2838
2025-06-04,09:31:00,1632.300048828125,1632.5,1631.0,1631.4000244140625,1503
2025-06-04,09:32:00,1631.4000244140625,1631.5,1630.0,1630.0,1879
2025-06-04,09:33:00,1630.9000244140625,1630.9000244140625,1629.5,1629.5,1384
2025-06-04,09:34:00,1629.5,1630.5,1629.0999755859375,1630.199951171875,1816
2025-06-04,09:35:00,1630.0999755859375,1630.0999755859375,1629.5999755859375,1629.5999755859375,794
2025-06-04,09:36:00,1629.5999755859375,1629.9000244140625,1628.800048828125,1629.199951171875,1540
2025-06-04,09:37:00,1629.9000244140625,1630.9000244140625,1629.4000244140625,1630.0999755859375,1306
2025-06-04,09:38:00,1630.0999755859375,1630.0999755859375,1627.5999755859375,1627.5999755859375,2258
2025-06-04,09:39:00,1628.300048828125,1629.800048828125,1627.0,1629.800048828125,2250
2025-06-04,09:40:00,1629.699951171875,1630.699951171875,1629.5999755859375,1630.699951171875,1055
2025-06-04,09:41:00,1630.5,1630.699951171875,1629.699951171875,1629.699951171875,1148
2025-06-04,09:42:00,1629.800048828125,1630.199951171875,1629.5999755859375,1630.0,691
2025-06-04,09:43:00,1630.4000244140625,1630.4000244140625,1630.0999755859375,1630.0999755859375,305
2025-06-04,09:44:00,1630.199951171875,1631.9000244140625,1630.0,1631.800048828125,1460
2025-06-04,09:45:00,1631.699951171875,1632.9000244140625,1631.5999755859375,1631.5999755859375,1374
2025-06-04,09:46:00,1631.5999755859375,1631.5999755859375,1630.800048828125,1631.4000244140625,2147
2025-06-04,09:47:00,1631.300048828125,1632.4000244140625,1631.300048828125,1632.4000244140625,1911
2025-06-04,09:48:00,1631.699951171875,1631.699951171875,1631.0999755859375,1631.5999755859375,681
2025-06-04,09:49:00,1630.9000244140625,1632.4000244140625,1630.9000244140625,1632.4000244140625,2503
