,Date,Time,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2025-06-03,09:15:00,12304.0,12344.0,12304.0,12324.0,0,0.0,0.0
1,2025-06-03,09:16:00,12316.0,12316.0,12279.0,12280.0,5729,0.0,0.0
2,2025-06-03,09:17:00,12270.0,12270.0,12260.0,12270.0,2787,0.0,0.0
3,2025-06-03,09:18:00,12275.0,12275.0,12240.0,12240.0,992,0.0,0.0
4,2025-06-03,09:19:00,12242.0,12259.0,12242.0,12247.0,1178,0.0,0.0
5,2025-06-03,09:20:00,12240.0,12258.0,12238.0,12246.0,1027,0.0,0.0
6,2025-06-03,09:21:00,12248.0,12248.0,12236.0,12240.0,324,0.0,0.0
7,2025-06-03,09:22:00,12227.0,12240.0,12227.0,12228.0,1432,0.0,0.0
8,2025-06-03,09:23:00,12227.0,12227.0,12218.0,12222.0,1122,0.0,0.0
9,2025-06-03,09:24:00,12230.0,12230.0,12219.0,12219.0,613,0.0,0.0
10,2025-06-03,09:25:00,12215.0,12227.0,12215.0,12219.0,1630,0.0,0.0
11,2025-06-03,09:26:00,12215.0,12215.0,12212.0,12213.0,1429,0.0,0.0
12,2025-06-03,09:27:00,12217.0,12217.0,12203.0,12210.0,1123,0.0,0.0
13,2025-06-03,09:28:00,12212.0,12212.0,12208.0,12210.0,679,0.0,0.0
14,2025-06-03,09:29:00,12210.0,12217.0,12205.0,12217.0,591,0.0,0.0
15,2025-06-03,09:30:00,12204.0,12204.0,12181.0,12196.0,2069,0.0,0.0
16,2025-06-03,09:31:00,12196.0,12196.0,12189.0,12194.0,687,0.0,0.0
17,2025-06-03,09:32:00,12193.0,12195.0,12190.0,12195.0,597,0.0,0.0
18,2025-06-03,09:33:00,12183.0,12191.0,12176.0,12190.0,1124,0.0,0.0
19,2025-06-03,09:34:00,12184.0,12184.0,12181.0,12182.0,374,0.0,0.0
20,2025-06-03,09:35:00,12182.0,12197.0,12182.0,12197.0,763,0.0,0.0
21,2025-06-03,09:36:00,12195.0,12214.0,12195.0,12209.0,1016,0.0,0.0
22,2025-06-03,09:37:00,12209.0,12221.0,12208.0,12218.0,554,0.0,0.0
23,2025-06-03,09:38:00,12215.0,12225.0,12215.0,12215.0,1334,0.0,0.0
24,2025-06-03,09:39:00,12210.0,12210.0,12201.0,12204.0,640,0.0,0.0
25,2025-06-03,09:40:00,12203.0,12213.0,12198.0,12201.0,380,0.0,0.0
26,2025-06-03,09:41:00,12202.0,12202.0,12192.0,12192.0,496,0.0,0.0
27,2025-06-03,09:42:00,12193.0,12200.0,12193.0,12193.0,557,0.0,0.0
28,2025-06-03,09:43:00,12193.0,12193.0,12186.0,12186.0,485,0.0,0.0
29,2025-06-03,09:44:00,12193.0,12197.0,12188.0,12191.0,685,0.0,0.0
30,2025-06-03,09:45:00,12196.0,12204.0,12196.0,12203.0,672,0.0,0.0
31,2025-06-03,09:46:00,12200.0,12203.0,12197.0,12203.0,329,0.0,0.0
32,2025-06-03,09:47:00,12202.0,12202.0,12200.0,12200.0,84,0.0,0.0
33,2025-06-03,09:48:00,12201.0,12204.0,12200.0,12204.0,582,0.0,0.0
34,2025-06-03,09:49:00,12204.0,12206.0,12200.0,12200.0,213,0.0,0.0
35,2025-06-03,09:50:00,12200.0,12203.0,12200.0,12200.0,501,0.0,0.0
36,2025-06-03,09:51:00,12204.0,12211.0,12204.0,12208.0,474,0.0,0.0
37,2025-06-03,09:52:00,12207.0,12207.0,12201.0,12207.0,299,0.0,0.0
38,2025-06-03,09:53:00,12204.0,12204.0,12200.0,12200.0,402,0.0,0.0
39,2025-06-03,09:54:00,12201.0,12201.0,12200.0,12201.0,2881,0.0,0.0
40,2025-06-03,09:55:00,12201.0,12201.0,12200.0,12200.0,374,0.0,0.0
41,2025-06-03,09:56:00,12200.0,12201.0,12200.0,12200.0,814,0.0,0.0
42,2025-06-03,09:57:00,12200.0,12201.0,12200.0,12200.0,8273,0.0,0.0
43,2025-06-03,09:58:00,12200.0,12201.0,12200.0,12200.0,1221,0.0,0.0
44,2025-06-03,09:59:00,12200.0,12201.0,12200.0,12200.0,872,0.0,0.0
45,2025-06-03,10:00:00,12200.0,12200.0,12180.0,12180.0,3401,0.0,0.0
46,2025-06-03,10:01:00,12178.0,12179.0,12176.0,12179.0,1352,0.0,0.0
47,2025-06-03,10:02:00,12179.0,12180.0,12175.0,12176.0,815,0.0,0.0
48,2025-06-03,10:03:00,12176.0,12177.0,12173.0,12173.0,1042,0.0,0.0
49,2025-06-03,10:04:00,12170.0,12183.0,12170.0,12176.0,928,0.0,0.0
50,2025-06-03,10:05:00,12176.0,12180.0,12176.0,12177.0,399,0.0,0.0
51,2025-06-03,10:06:00,12180.0,12194.0,12178.0,12194.0,714,0.0,0.0
52,2025-06-03,10:07:00,12193.0,12203.0,12193.0,12203.0,442,0.0,0.0
53,2025-06-03,10:08:00,12201.0,12203.0,12195.0,12201.0,491,0.0,0.0
54,2025-06-03,10:09:00,12198.0,12201.0,12198.0,12198.0,106,0.0,0.0
55,2025-06-03,10:10:00,12197.0,12198.0,12195.0,12196.0,629,0.0,0.0
56,2025-06-03,10:11:00,12195.0,12203.0,12195.0,12203.0,607,0.0,0.0
57,2025-06-03,10:12:00,12200.0,12215.0,12200.0,12215.0,877,0.0,0.0
58,2025-06-03,10:13:00,12215.0,12215.0,12211.0,12213.0,635,0.0,0.0
59,2025-06-03,10:14:00,12215.0,12218.0,12215.0,12218.0,223,0.0,0.0
60,2025-06-03,10:15:00,12215.0,12217.0,12209.0,12216.0,693,0.0,0.0
61,2025-06-03,10:16:00,12219.0,12220.0,12217.0,12217.0,1525,0.0,0.0
62,2025-06-03,10:17:00,12218.0,12218.0,12217.0,12218.0,506,0.0,0.0
63,2025-06-03,10:18:00,12218.0,12218.0,12214.0,12218.0,326,0.0,0.0
64,2025-06-03,10:19:00,12217.0,12224.0,12217.0,12224.0,990,0.0,0.0
65,2025-06-03,10:20:00,12228.0,12245.0,12228.0,12239.0,1419,0.0,0.0
66,2025-06-03,10:21:00,12236.0,12251.0,12236.0,12246.0,1474,0.0,0.0
67,2025-06-03,10:22:00,12246.0,12258.0,12246.0,12253.0,2265,0.0,0.0
68,2025-06-03,10:23:00,12247.0,12252.0,12238.0,12244.0,348,0.0,0.0
69,2025-06-03,10:24:00,12240.0,12252.0,12240.0,12249.0,851,0.0,0.0
70,2025-06-03,10:25:00,12250.0,12255.0,12250.0,12251.0,354,0.0,0.0
71,2025-06-03,10:26:00,12251.0,12253.0,12248.0,12248.0,228,0.0,0.0
72,2025-06-03,10:27:00,12255.0,12255.0,12246.0,12246.0,821,0.0,0.0
73,2025-06-03,10:28:00,12245.0,12257.0,12245.0,12253.0,1191,0.0,0.0
74,2025-06-03,10:29:00,12254.0,12254.0,12252.0,12252.0,1861,0.0,0.0
75,2025-06-03,10:30:00,12253.0,12253.0,12252.0,12253.0,1370,0.0,0.0
76,2025-06-03,10:31:00,12253.0,12253.0,12252.0,12253.0,614,0.0,0.0
77,2025-06-03,10:32:00,12253.0,12260.0,12252.0,12258.0,956,0.0,0.0
78,2025-06-03,10:33:00,12260.0,12267.0,12260.0,12264.0,769,0.0,0.0
79,2025-06-03,10:34:00,12270.0,12271.0,12270.0,12270.0,1992,0.0,0.0
80,2025-06-03,10:35:00,12271.0,12271.0,12270.0,12270.0,1301,0.0,0.0
81,2025-06-03,10:36:00,12270.0,12270.0,12245.0,12245.0,2345,0.0,0.0
82,2025-06-03,10:37:00,12246.0,12246.0,12224.0,12227.0,788,0.0,0.0
83,2025-06-03,10:38:00,12224.0,12227.0,12222.0,12222.0,499,0.0,0.0
84,2025-06-03,10:39:00,12204.0,12205.0,12193.0,12200.0,3545,0.0,0.0
85,2025-06-03,10:40:00,12197.0,12208.0,12188.0,12199.0,1196,0.0,0.0
86,2025-06-03,10:41:00,12202.0,12204.0,12193.0,12193.0,464,0.0,0.0
87,2025-06-03,10:42:00,12193.0,12193.0,12184.0,12185.0,688,0.0,0.0
88,2025-06-03,10:43:00,12181.0,12183.0,12180.0,12183.0,649,0.0,0.0
89,2025-06-03,10:44:00,12182.0,12188.0,12181.0,12183.0,330,0.0,0.0
90,2025-06-03,10:45:00,12181.0,12186.0,12181.0,12186.0,701,0.0,0.0
91,2025-06-03,10:46:00,12185.0,12185.0,12185.0,12185.0,26,0.0,0.0
