,Date,Time,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2025-06-03,09:15:00,11278.0,11278.0,11207.0,11212.0,0,0.0,0.0
1,2025-06-03,09:16:00,11219.0,11219.0,11162.0,11178.0,6396,0.0,0.0
2,2025-06-03,09:17:00,11175.0,11175.0,11167.0,11174.0,1914,0.0,0.0
3,2025-06-03,09:18:00,11176.0,11179.0,11172.0,11174.0,983,0.0,0.0
4,2025-06-03,09:19:00,11171.0,11185.0,11170.0,11184.0,1084,0.0,0.0
5,2025-06-03,09:20:00,11185.0,11185.0,11178.0,11178.0,624,0.0,0.0
6,2025-06-03,09:21:00,11170.0,11176.0,11161.0,11161.0,1066,0.0,0.0
7,2025-06-03,09:22:00,11162.0,11162.0,11159.0,11160.0,1531,0.0,0.0
8,2025-06-03,09:23:00,11164.0,11167.0,11160.0,11167.0,419,0.0,0.0
9,2025-06-03,09:24:00,11167.0,11182.0,11167.0,11178.0,654,0.0,0.0
10,2025-06-03,09:25:00,11175.0,11175.0,11169.0,11171.0,361,0.0,0.0
11,2025-06-03,09:26:00,11172.0,11172.0,11165.0,11165.0,533,0.0,0.0
12,2025-06-03,09:27:00,11168.0,11170.0,11165.0,11167.0,526,0.0,0.0
13,2025-06-03,09:28:00,11170.0,11180.0,11162.0,11162.0,998,0.0,0.0
14,2025-06-03,09:29:00,11172.0,11172.0,11155.0,11155.0,718,0.0,0.0
15,2025-06-03,09:30:00,11154.0,11154.0,11134.0,11140.0,2348,0.0,0.0
16,2025-06-03,09:31:00,11141.0,11143.0,11134.0,11143.0,805,0.0,0.0
17,2025-06-03,09:32:00,11145.0,11145.0,11140.0,11145.0,206,0.0,0.0
18,2025-06-03,09:33:00,11134.0,11154.0,11134.0,11148.0,729,0.0,0.0
19,2025-06-03,09:34:00,11149.0,11149.0,11139.0,11139.0,210,0.0,0.0
20,2025-06-03,09:35:00,11140.0,11149.0,11140.0,11143.0,437,0.0,0.0
21,2025-06-03,09:36:00,11143.0,11154.0,11143.0,11154.0,245,0.0,0.0
22,2025-06-03,09:37:00,11154.0,11156.0,11152.0,11152.0,412,0.0,0.0
23,2025-06-03,09:38:00,11152.0,11176.0,11152.0,11170.0,1266,0.0,0.0
24,2025-06-03,09:39:00,11168.0,11168.0,11149.0,11149.0,892,0.0,0.0
25,2025-06-03,09:40:00,11149.0,11157.0,11145.0,11148.0,378,0.0,0.0
26,2025-06-03,09:41:00,11150.0,11150.0,11144.0,11144.0,359,0.0,0.0
27,2025-06-03,09:42:00,11138.0,11139.0,11130.0,11131.0,916,0.0,0.0
28,2025-06-03,09:43:00,11130.0,11132.0,11130.0,11130.0,301,0.0,0.0
29,2025-06-03,09:44:00,11138.0,11140.0,11135.0,11137.0,821,0.0,0.0
30,2025-06-03,09:45:00,11136.0,11143.0,11132.0,11132.0,270,0.0,0.0
31,2025-06-03,09:46:00,11137.0,11144.0,11134.0,11139.0,135,0.0,0.0
32,2025-06-03,09:47:00,11135.0,11139.0,11134.0,11138.0,162,0.0,0.0
33,2025-06-03,09:48:00,11135.0,11139.0,11131.0,11131.0,332,0.0,0.0
34,2025-06-03,09:49:00,11136.0,11139.0,11134.0,11136.0,303,0.0,0.0
35,2025-06-03,09:50:00,11135.0,11138.0,11121.0,11121.0,725,0.0,0.0
36,2025-06-03,09:51:00,11125.0,11129.0,11125.0,11126.0,1021,0.0,0.0
37,2025-06-03,09:52:00,11128.0,11140.0,11126.0,11130.0,256,0.0,0.0
38,2025-06-03,09:53:00,11130.0,11131.0,11121.0,11123.0,253,0.0,0.0
39,2025-06-03,09:54:00,11123.0,11123.0,11115.0,11117.0,406,0.0,0.0
40,2025-06-03,09:55:00,11115.0,11115.0,11106.0,11114.0,2245,0.0,0.0
41,2025-06-03,09:56:00,11116.0,11121.0,11113.0,11113.0,104,0.0,0.0
42,2025-06-03,09:57:00,11107.0,11108.0,11101.0,11101.0,461,0.0,0.0
43,2025-06-03,09:58:00,11103.0,11110.0,11103.0,11106.0,696,0.0,0.0
44,2025-06-03,09:59:00,11106.0,11106.0,11103.0,11103.0,302,0.0,0.0
45,2025-06-03,10:00:00,11104.0,11104.0,11091.0,11104.0,2561,0.0,0.0
46,2025-06-03,10:01:00,11101.0,11103.0,11095.0,11100.0,287,0.0,0.0
47,2025-06-03,10:02:00,11100.0,11107.0,11100.0,11106.0,265,0.0,0.0
48,2025-06-03,10:03:00,11105.0,11106.0,11098.0,11100.0,414,0.0,0.0
49,2025-06-03,10:04:00,11102.0,11103.0,11100.0,11103.0,342,0.0,0.0
50,2025-06-03,10:05:00,11103.0,11105.0,11101.0,11101.0,272,0.0,0.0
51,2025-06-03,10:06:00,11100.0,11103.0,11100.0,11103.0,106,0.0,0.0
52,2025-06-03,10:07:00,11100.0,11111.0,11099.0,11107.0,523,0.0,0.0
53,2025-06-03,10:08:00,11107.0,11111.0,11100.0,11104.0,277,0.0,0.0
54,2025-06-03,10:09:00,11111.0,11112.0,11105.0,11110.0,374,0.0,0.0
55,2025-06-03,10:10:00,11106.0,11115.0,11106.0,11115.0,202,0.0,0.0
56,2025-06-03,10:11:00,11115.0,11122.0,11115.0,11122.0,540,0.0,0.0
57,2025-06-03,10:12:00,11125.0,11125.0,11112.0,11119.0,309,0.0,0.0
58,2025-06-03,10:13:00,11121.0,11123.0,11117.0,11122.0,206,0.0,0.0
59,2025-06-03,10:14:00,11120.0,11127.0,11119.0,11119.0,466,0.0,0.0
60,2025-06-03,10:15:00,11115.0,11124.0,11115.0,11122.0,1598,0.0,0.0
61,2025-06-03,10:16:00,11120.0,11128.0,11120.0,11124.0,174,0.0,0.0
62,2025-06-03,10:17:00,11124.0,11128.0,11123.0,11126.0,557,0.0,0.0
63,2025-06-03,10:18:00,11129.0,11139.0,11127.0,11138.0,749,0.0,0.0
64,2025-06-03,10:19:00,11140.0,11143.0,11140.0,11143.0,219,0.0,0.0
65,2025-06-03,10:20:00,11149.0,11155.0,11149.0,11151.0,2036,0.0,0.0
66,2025-06-03,10:21:00,11151.0,11159.0,11151.0,11155.0,1439,0.0,0.0
67,2025-06-03,10:22:00,11160.0,11171.0,11159.0,11159.0,3293,0.0,0.0
68,2025-06-03,10:23:00,11162.0,11162.0,11154.0,11155.0,345,0.0,0.0
69,2025-06-03,10:24:00,11159.0,11170.0,11159.0,11169.0,730,0.0,0.0
70,2025-06-03,10:25:00,11166.0,11174.0,11159.0,11159.0,1627,0.0,0.0
71,2025-06-03,10:26:00,11160.0,11170.0,11160.0,11166.0,651,0.0,0.0
72,2025-06-03,10:27:00,11169.0,11170.0,11165.0,11167.0,374,0.0,0.0
73,2025-06-03,10:28:00,11162.0,11166.0,11160.0,11162.0,216,0.0,0.0
74,2025-06-03,10:29:00,11162.0,11162.0,11155.0,11157.0,142,0.0,0.0
75,2025-06-03,10:30:00,11159.0,11161.0,11159.0,11159.0,910,0.0,0.0
76,2025-06-03,10:31:00,11159.0,11160.0,11158.0,11158.0,226,0.0,0.0
77,2025-06-03,10:32:00,11157.0,11160.0,11157.0,11160.0,264,0.0,0.0
78,2025-06-03,10:33:00,11159.0,11160.0,11155.0,11155.0,245,0.0,0.0
79,2025-06-03,10:34:00,11156.0,11157.0,11151.0,11152.0,374,0.0,0.0
